cmp625, 1, BruteForce, 1000, 0.0092, lunaris
cmp625, 1, Hybrid_5, 1000, 0.0005, lunaris
cmp625, 1, Hybrid_10, 1000, 0.0005, lunaris
cmp625, 1, Hybrid_20, 1000, 0.0004, lunaris
cmp625, 1, Hybrid_30, 1000, 0.0005, lunaris
cmp625, 1, Hybrid_50, 1000, 0.0006, lunaris
cmp625, 1, Hybrid_100, 1000, 0.0008, lunaris
cmp625, 1, Hybrid_500, 1000, 0.0031, lunaris
cmp625, 1, Hybrid_1000, 1000, 0.0093, lunaris
cmp625, 1, Hybrid_5000, 1000, 0.0092, lunaris
cmp625, 1, NativeSorted, 1000, 0.0001, lunaris
cmp625, 1, BruteForce, 2000, 0.0354, lunaris
cmp625, 1, Hybrid_5, 2000, 0.0011, lunaris
cmp625, 1, Hybrid_10, 2000, 0.0010, lunaris
cmp625, 1, Hybrid_20, 2000, 0.0010, lunaris
cmp625, 1, Hybrid_30, 2000, 0.0011, lunaris
cmp625, 1, Hybrid_50, 2000, 0.0013, lunaris
cmp625, 1, Hybrid_100, 2000, 0.0017, lunaris
cmp625, 1, Hybrid_500, 2000, 0.0082, lunaris
cmp625, 1, Hybrid_1000, 2000, 0.0121, lunaris
cmp625, 1, Hybrid_5000, 2000, 0.0355, lunaris
cmp625, 1, NativeSorted, 2000, 0.0001, lunaris
cmp625, 1, BruteForce, 5000, 0.2212, lunaris
cmp625, 1, Hybrid_5, 5000, 0.0030, lunaris
cmp625, 1, Hybrid_10, 5000, 0.0029, lunaris
cmp625, 1, Hybrid_20, 5000, 0.0029, lunaris
cmp625, 1, Hybrid_30, 5000, 0.0031, lunaris
cmp625, 1, Hybrid_50, 5000, 0.0036, lunaris
cmp625, 1, Hybrid_100, 5000, 0.0048, lunaris
cmp625, 1, Hybrid_500, 5000, 0.0148, lunaris
cmp625, 1, Hybrid_1000, 5000, 0.0319, lunaris
cmp625, 1, Hybrid_5000, 5000, 0.2274, lunaris
cmp625, 1, NativeSorted, 5000, 0.0004, lunaris
cmp625, 1, BruteForce, 10000, 0.8913, lunaris
cmp625, 1, Hybrid_5, 10000, 0.0063, lunaris
cmp625, 1, Hybrid_10, 10000, 0.0061, lunaris
cmp625, 1, Hybrid_20, 10000, 0.0062, lunaris
cmp625, 1, Hybrid_30, 10000, 0.0065, lunaris
cmp625, 1, Hybrid_50, 10000, 0.0072, lunaris
cmp625, 1, Hybrid_100, 10000, 0.0098, lunaris
cmp625, 1, Hybrid_500, 10000, 0.0310, lunaris
cmp625, 1, Hybrid_1000, 10000, 0.0557, lunaris
cmp625, 1, Hybrid_5000, 10000, 0.2432, lunaris
cmp625, 1, NativeSorted, 10000, 0.0008, lunaris
cmp625, 1, BruteForce, 50000, 24.4089, lunaris
cmp625, 1, Hybrid_5, 50000, 0.0377, lunaris
cmp625, 1, Hybrid_10, 50000, 0.0367, lunaris
cmp625, 1, Hybrid_20, 50000, 0.0369, lunaris
cmp625, 1, Hybrid_30, 50000, 0.0385, lunaris
cmp625, 1, Hybrid_50, 50000, 0.0426, lunaris
cmp625, 1, Hybrid_100, 50000, 0.0555, lunaris
cmp625, 1, Hybrid_500, 50000, 0.1712, lunaris
cmp625, 1, Hybrid_1000, 50000, 0.3240, lunaris
cmp625, 1, Hybrid_5000, 50000, 1.4782, lunaris
cmp625, 1, NativeSorted, 50000, 0.0049, lunaris
cmp625, 1, BruteForce, 100000, 99.0833, lunaris
cmp625, 1, Hybrid_5, 100000, 0.0800, lunaris
cmp625, 1, Hybrid_10, 100000, 0.0781, lunaris
cmp625, 1, Hybrid_20, 100000, 0.0784, lunaris
cmp625, 1, Hybrid_30, 100000, 0.0813, lunaris
cmp625, 1, Hybrid_50, 100000, 0.0889, lunaris
cmp625, 1, Hybrid_100, 100000, 0.1137, lunaris
cmp625, 1, Hybrid_500, 100000, 0.3396, lunaris
cmp625, 1, Hybrid_1000, 100000, 0.6574, lunaris
cmp625, 1, Hybrid_5000, 100000, 2.9223, lunaris
cmp625, 1, NativeSorted, 100000, 0.0106, lunaris
cmp625, 1, BruteForce, 500000, 2494.8042, lunaris
cmp625, 1, Hybrid_5, 500000, 0.4832, lunaris
cmp625, 1, Hybrid_10, 500000, 0.4699, lunaris
cmp625, 1, Hybrid_20, 500000, 0.4753, lunaris
cmp625, 1, Hybrid_30, 500000, 0.4866, lunaris
cmp625, 1, Hybrid_50, 500000, 0.5278, lunaris
cmp625, 1, Hybrid_100, 500000, 0.6528, lunaris
cmp625, 1, Hybrid_500, 500000, 1.8029, lunaris
cmp625, 1, Hybrid_1000, 500000, 3.2564, lunaris
cmp625, 1, Hybrid_5000, 500000, 15.5968, lunaris
cmp625, 1, NativeSorted, 500000, 0.0620, lunaris
cmp625, 1, BruteForce, 1000000, 10458.9090, lunaris
cmp625, 1, Hybrid_5, 1000000, 0.9910, lunaris
cmp625, 1, Hybrid_10, 1000000, 0.9698, lunaris
cmp625, 1, Hybrid_20, 1000000, 0.9748, lunaris
cmp625, 1, Hybrid_30, 1000000, 1.0015, lunaris
cmp625, 1, Hybrid_50, 1000000, 1.0891, lunaris
cmp625, 1, Hybrid_100, 1000000, 1.3355, lunaris
cmp625, 1, Hybrid_500, 1000000, 3.6152, lunaris
cmp625, 1, Hybrid_1000, 1000000, 6.6270, lunaris
cmp625, 1, Hybrid_5000, 1000000, 30.9674, lunaris
cmp625, 1, NativeSorted, 1000000, 0.1590, lunaris
cmp625, 2, BruteForce, 1000, 0.0086, lunaris
cmp625, 2, Hybrid_5, 1000, 0.0005, lunaris
cmp625, 2, Hybrid_10, 1000, 0.0004, lunaris
cmp625, 2, Hybrid_20, 1000, 0.0004, lunaris
cmp625, 2, Hybrid_30, 1000, 0.0005, lunaris
cmp625, 2, Hybrid_50, 1000, 0.0005, lunaris
cmp625, 2, Hybrid_100, 1000, 0.0008, lunaris
cmp625, 2, Hybrid_500, 1000, 0.0031, lunaris
cmp625, 2, Hybrid_1000, 1000, 0.0087, lunaris
cmp625, 2, Hybrid_5000, 1000, 0.0088, lunaris
cmp625, 2, NativeSorted, 1000, 0.0001, lunaris
cmp625, 2, BruteForce, 2000, 0.0354, lunaris
cmp625, 2, Hybrid_5, 2000, 0.0010, lunaris
cmp625, 2, Hybrid_10, 2000, 0.0009, lunaris
cmp625, 2, Hybrid_20, 2000, 0.0009, lunaris
cmp625, 2, Hybrid_30, 2000, 0.0010, lunaris
cmp625, 2, Hybrid_50, 2000, 0.0012, lunaris
cmp625, 2, Hybrid_100, 2000, 0.0016, lunaris
cmp625, 2, Hybrid_500, 2000, 0.0063, lunaris
cmp625, 2, Hybrid_1000, 2000, 0.0139, lunaris
cmp625, 2, Hybrid_5000, 2000, 0.0355, lunaris
cmp625, 2, NativeSorted, 2000, 0.0001, lunaris
cmp625, 2, BruteForce, 5000, 0.2472, lunaris
cmp625, 2, Hybrid_5, 5000, 0.0028, lunaris
cmp625, 2, Hybrid_10, 5000, 0.0027, lunaris
cmp625, 2, Hybrid_20, 5000, 0.0027, lunaris
cmp625, 2, Hybrid_30, 5000, 0.0028, lunaris
cmp625, 2, Hybrid_50, 5000, 0.0033, lunaris
cmp625, 2, Hybrid_100, 5000, 0.0046, lunaris
cmp625, 2, Hybrid_500, 5000, 0.0143, lunaris
cmp625, 2, Hybrid_1000, 5000, 0.0381, lunaris
cmp625, 2, Hybrid_5000, 5000, 0.2245, lunaris
cmp625, 2, NativeSorted, 5000, 0.0004, lunaris
cmp625, 2, BruteForce, 10000, 0.8919, lunaris
cmp625, 2, Hybrid_5, 10000, 0.0061, lunaris
cmp625, 2, Hybrid_10, 10000, 0.0059, lunaris
cmp625, 2, Hybrid_20, 10000, 0.0059, lunaris
cmp625, 2, Hybrid_30, 10000, 0.0062, lunaris
cmp625, 2, Hybrid_50, 10000, 0.0070, lunaris
cmp625, 2, Hybrid_100, 10000, 0.0097, lunaris
cmp625, 2, Hybrid_500, 10000, 0.0323, lunaris
cmp625, 2, Hybrid_1000, 10000, 0.0577, lunaris
cmp625, 2, Hybrid_5000, 10000, 0.2955, lunaris
cmp625, 2, NativeSorted, 10000, 0.0008, lunaris
cmp625, 2, BruteForce, 50000, 24.6898, lunaris
cmp625, 2, Hybrid_5, 50000, 0.0369, lunaris
cmp625, 2, Hybrid_10, 50000, 0.0359, lunaris
cmp625, 2, Hybrid_20, 50000, 0.0363, lunaris
cmp625, 2, Hybrid_30, 50000, 0.0378, lunaris
cmp625, 2, Hybrid_50, 50000, 0.0419, lunaris
cmp625, 2, Hybrid_100, 50000, 0.0546, lunaris
cmp625, 2, Hybrid_500, 50000, 0.1738, lunaris
cmp625, 2, Hybrid_1000, 50000, 0.3327, lunaris
cmp625, 2, Hybrid_5000, 50000, 1.4283, lunaris
cmp625, 2, NativeSorted, 50000, 0.0050, lunaris
cmp625, 2, BruteForce, 100000, 98.4543, lunaris
cmp625, 2, Hybrid_5, 100000, 0.0783, lunaris
cmp625, 2, Hybrid_10, 100000, 0.0760, lunaris
cmp625, 2, Hybrid_20, 100000, 0.0767, lunaris
cmp625, 2, Hybrid_30, 100000, 0.0799, lunaris
cmp625, 2, Hybrid_50, 100000, 0.0881, lunaris
cmp625, 2, Hybrid_100, 100000, 0.1147, lunaris
cmp625, 2, Hybrid_500, 100000, 0.3373, lunaris
cmp625, 2, Hybrid_1000, 100000, 0.6527, lunaris
cmp625, 2, Hybrid_5000, 100000, 3.1589, lunaris
cmp625, 2, NativeSorted, 100000, 0.0106, lunaris
cmp625, 2, BruteForce, 500000, 2518.9203, lunaris
cmp625, 2, Hybrid_5, 500000, 0.4677, lunaris
cmp625, 2, Hybrid_10, 500000, 0.4511, lunaris
cmp625, 2, Hybrid_20, 500000, 0.4589, lunaris
cmp625, 2, Hybrid_30, 500000, 0.4777, lunaris
cmp625, 2, Hybrid_50, 500000, 0.5176, lunaris
cmp625, 2, Hybrid_100, 500000, 0.6438, lunaris
cmp625, 2, Hybrid_500, 500000, 1.7933, lunaris
cmp625, 2, Hybrid_1000, 500000, 3.2259, lunaris
cmp625, 2, Hybrid_5000, 500000, 16.0486, lunaris
cmp625, 2, NativeSorted, 500000, 0.0622, lunaris
cmp625, 2, BruteForce, 1000000, 10622.0035, lunaris
cmp625, 2, Hybrid_5, 1000000, 0.9807, lunaris
cmp625, 2, Hybrid_10, 1000000, 0.9541, lunaris
cmp625, 2, Hybrid_20, 1000000, 0.9589, lunaris
cmp625, 2, Hybrid_30, 1000000, 0.9890, lunaris
cmp625, 2, Hybrid_50, 1000000, 1.0683, lunaris
cmp625, 2, Hybrid_100, 1000000, 1.3239, lunaris
cmp625, 2, Hybrid_500, 1000000, 3.6419, lunaris
cmp625, 2, Hybrid_1000, 1000000, 6.6117, lunaris
cmp625, 2, Hybrid_5000, 1000000, 30.5328, lunaris
cmp625, 2, NativeSorted, 1000000, 0.1518, lunaris
cmp625, 3, BruteForce, 1000, 0.0083, lunaris
cmp625, 3, Hybrid_5, 1000, 0.0006, lunaris
cmp625, 3, Hybrid_10, 1000, 0.0005, lunaris
cmp625, 3, Hybrid_20, 1000, 0.0006, lunaris
cmp625, 3, Hybrid_30, 1000, 0.0006, lunaris
cmp625, 3, Hybrid_50, 1000, 0.0007, lunaris
cmp625, 3, Hybrid_100, 1000, 0.0010, lunaris
cmp625, 3, Hybrid_500, 1000, 0.0026, lunaris
cmp625, 3, Hybrid_1000, 1000, 0.0083, lunaris
cmp625, 3, Hybrid_5000, 1000, 0.0083, lunaris
cmp625, 3, NativeSorted, 1000, 0.0001, lunaris
cmp625, 3, BruteForce, 2000, 0.0355, lunaris
cmp625, 3, Hybrid_5, 2000, 0.0010, lunaris
cmp625, 3, Hybrid_10, 2000, 0.0010, lunaris
cmp625, 3, Hybrid_20, 2000, 0.0010, lunaris
cmp625, 3, Hybrid_30, 2000, 0.0011, lunaris
cmp625, 3, Hybrid_50, 2000, 0.0012, lunaris
cmp625, 3, Hybrid_100, 2000, 0.0017, lunaris
cmp625, 3, Hybrid_500, 2000, 0.0070, lunaris
cmp625, 3, Hybrid_1000, 2000, 0.0093, lunaris
cmp625, 3, Hybrid_5000, 2000, 0.0351, lunaris
cmp625, 3, NativeSorted, 2000, 0.0001, lunaris
cmp625, 3, BruteForce, 5000, 0.2211, lunaris
cmp625, 3, Hybrid_5, 5000, 0.0029, lunaris
cmp625, 3, Hybrid_10, 5000, 0.0027, lunaris
cmp625, 3, Hybrid_20, 5000, 0.0028, lunaris
cmp625, 3, Hybrid_30, 5000, 0.0030, lunaris
cmp625, 3, Hybrid_50, 5000, 0.0034, lunaris
cmp625, 3, Hybrid_100, 5000, 0.0046, lunaris
cmp625, 3, Hybrid_500, 5000, 0.0177, lunaris
cmp625, 3, Hybrid_1000, 5000, 0.0295, lunaris
cmp625, 3, Hybrid_5000, 5000, 0.2232, lunaris
cmp625, 3, NativeSorted, 5000, 0.0004, lunaris
cmp625, 3, BruteForce, 10000, 0.9463, lunaris
cmp625, 3, Hybrid_5, 10000, 0.0062, lunaris
cmp625, 3, Hybrid_10, 10000, 0.0060, lunaris
cmp625, 3, Hybrid_20, 10000, 0.0061, lunaris
cmp625, 3, Hybrid_30, 10000, 0.0064, lunaris
cmp625, 3, Hybrid_50, 10000, 0.0072, lunaris
cmp625, 3, Hybrid_100, 10000, 0.0101, lunaris
cmp625, 3, Hybrid_500, 10000, 0.0360, lunaris
cmp625, 3, Hybrid_1000, 10000, 0.0585, lunaris
cmp625, 3, Hybrid_5000, 10000, 0.2514, lunaris
cmp625, 3, NativeSorted, 10000, 0.0008, lunaris
cmp625, 3, BruteForce, 50000, 24.8880, lunaris
cmp625, 3, Hybrid_5, 50000, 0.0371, lunaris
cmp625, 3, Hybrid_10, 50000, 0.0360, lunaris
cmp625, 3, Hybrid_20, 50000, 0.0364, lunaris
cmp625, 3, Hybrid_30, 50000, 0.0380, lunaris
cmp625, 3, Hybrid_50, 50000, 0.0421, lunaris
cmp625, 3, Hybrid_100, 50000, 0.0543, lunaris
cmp625, 3, Hybrid_500, 50000, 0.1720, lunaris
cmp625, 3, Hybrid_1000, 50000, 0.3243, lunaris
cmp625, 3, Hybrid_5000, 50000, 1.6390, lunaris
cmp625, 3, NativeSorted, 50000, 0.0050, lunaris
cmp625, 3, BruteForce, 100000, 99.7927, lunaris
cmp625, 3, Hybrid_5, 100000, 0.0787, lunaris
cmp625, 3, Hybrid_10, 100000, 0.0781, lunaris
cmp625, 3, Hybrid_20, 100000, 0.0792, lunaris
cmp625, 3, Hybrid_30, 100000, 0.0821, lunaris
cmp625, 3, Hybrid_50, 100000, 0.0907, lunaris
cmp625, 3, Hybrid_100, 100000, 0.1158, lunaris
cmp625, 3, Hybrid_500, 100000, 0.3483, lunaris
cmp625, 3, Hybrid_1000, 100000, 0.6299, lunaris
cmp625, 3, Hybrid_5000, 100000, 3.1292, lunaris
cmp625, 3, NativeSorted, 100000, 0.0106, lunaris
cmp625, 3, BruteForce, 500000, 2504.4108, lunaris
cmp625, 3, Hybrid_5, 500000, 0.4736, lunaris
cmp625, 3, Hybrid_10, 500000, 0.4625, lunaris
cmp625, 3, Hybrid_20, 500000, 0.4650, lunaris
cmp625, 3, Hybrid_30, 500000, 0.4816, lunaris
cmp625, 3, Hybrid_50, 500000, 0.5248, lunaris
cmp625, 3, Hybrid_100, 500000, 0.6582, lunaris
cmp625, 3, Hybrid_500, 500000, 1.8410, lunaris
cmp625, 3, Hybrid_1000, 500000, 3.3622, lunaris
cmp625, 3, Hybrid_5000, 500000, 15.8420, lunaris
cmp625, 3, NativeSorted, 500000, 0.0615, lunaris
cmp625, 3, BruteForce, 1000000, 10605.6184, lunaris
cmp625, 3, Hybrid_5, 1000000, 1.0442, lunaris
cmp625, 3, Hybrid_10, 1000000, 1.0224, lunaris
cmp625, 3, Hybrid_20, 1000000, 1.0323, lunaris
cmp625, 3, Hybrid_30, 1000000, 1.0651, lunaris
cmp625, 3, Hybrid_50, 1000000, 1.1581, lunaris
cmp625, 3, Hybrid_100, 1000000, 1.4261, lunaris
cmp625, 3, Hybrid_500, 1000000, 3.8878, lunaris
cmp625, 3, Hybrid_1000, 1000000, 6.9326, lunaris
cmp625, 3, Hybrid_5000, 1000000, 32.7992, lunaris
cmp625, 3, NativeSorted, 1000000, 0.1539, lunaris
cmp625, 4, BruteForce, 1000, 0.0091, lunaris
cmp625, 4, Hybrid_5, 1000, 0.0005, lunaris
cmp625, 4, Hybrid_10, 1000, 0.0005, lunaris
cmp625, 4, Hybrid_20, 1000, 0.0005, lunaris
cmp625, 4, Hybrid_30, 1000, 0.0005, lunaris
cmp625, 4, Hybrid_50, 1000, 0.0006, lunaris
cmp625, 4, Hybrid_100, 1000, 0.0008, lunaris
cmp625, 4, Hybrid_500, 1000, 0.0031, lunaris
cmp625, 4, Hybrid_1000, 1000, 0.0088, lunaris
cmp625, 4, Hybrid_5000, 1000, 0.0091, lunaris
cmp625, 4, NativeSorted, 1000, 0.0001, lunaris
cmp625, 4, BruteForce, 2000, 0.0354, lunaris
cmp625, 4, Hybrid_5, 2000, 0.0010, lunaris
cmp625, 4, Hybrid_10, 2000, 0.0010, lunaris
cmp625, 4, Hybrid_20, 2000, 0.0010, lunaris
cmp625, 4, Hybrid_30, 2000, 0.0011, lunaris
cmp625, 4, Hybrid_50, 2000, 0.0012, lunaris
cmp625, 4, Hybrid_100, 2000, 0.0018, lunaris
cmp625, 4, Hybrid_500, 2000, 0.0056, lunaris
cmp625, 4, Hybrid_1000, 2000, 0.0144, lunaris
cmp625, 4, Hybrid_5000, 2000, 0.0359, lunaris
cmp625, 4, NativeSorted, 2000, 0.0001, lunaris
cmp625, 4, BruteForce, 5000, 0.2277, lunaris
cmp625, 4, Hybrid_5, 5000, 0.0028, lunaris
cmp625, 4, Hybrid_10, 5000, 0.0027, lunaris
cmp625, 4, Hybrid_20, 5000, 0.0027, lunaris
cmp625, 4, Hybrid_30, 5000, 0.0029, lunaris
cmp625, 4, Hybrid_50, 5000, 0.0033, lunaris
cmp625, 4, Hybrid_100, 5000, 0.0046, lunaris
cmp625, 4, Hybrid_500, 5000, 0.0152, lunaris
