cmp625, 1, BruteForce, 1000, 0.0092, lunaris
cmp625, 4, Hybrid_1000, 5000, 0.0304, lunaris
cmp625, 4, Hybrid_5000, 5000, 0.2267, lunaris
cmp625, 4, NativeSorted, 5000, 0.0004, lunaris
cmp625, 4, BruteForce, 10000, 0.9052, lunaris
cmp625, 4, Hybrid_5, 10000, 0.0062, lunaris
cmp625, 4, Hybrid_10, 10000, 0.0059, lunaris
cmp625, 4, Hybrid_20, 10000, 0.0061, lunaris
cmp625, 4, Hybrid_30, 10000, 0.0063, lunaris
cmp625, 4, Hybrid_50, 10000, 0.0072, lunaris
cmp625, 4, Hybrid_100, 10000, 0.0096, lunaris
cmp625, 4, Hybrid_500, 10000, 0.0306, lunaris
cmp625, 4, Hybrid_1000, 10000, 0.0611, lunaris
cmp625, 4, Hybrid_5000, 10000, 0.2519, lunaris
cmp625, 4, NativeSorted, 10000, 0.0008, lunaris
cmp625, 4, BruteForce, 50000, 24.6858, lunaris
cmp625, 4, Hybrid_5, 50000, 0.0413, lunaris
cmp625, 4, Hybrid_10, 50000, 0.0401, lunaris
cmp625, 4, Hybrid_20, 50000, 0.0407, lunaris
cmp625, 4, Hybrid_30, 50000, 0.0421, lunaris
cmp625, 4, Hybrid_50, 50000, 0.0461, lunaris
cmp625, 4, Hybrid_100, 50000, 0.0584, lunaris
cmp625, 4, Hybrid_500, 50000, 0.1750, lunaris
cmp625, 4, Hybrid_1000, 50000, 0.3281, lunaris
cmp625, 4, Hybrid_5000, 50000, 1.5360, lunaris
cmp625, 4, NativeSorted, 50000, 0.0050, lunaris
cmp625, 4, BruteForce, 100000, 101.2299, lunaris
cmp625, 4, Hybrid_5, 100000, 0.0824, lunaris
cmp625, 4, Hybrid_10, 100000, 0.0807, lunaris
cmp625, 4, Hybrid_20, 100000, 0.0815, lunaris
cmp625, 4, Hybrid_30, 100000, 0.0847, lunaris
cmp625, 4, Hybrid_50, 100000, 0.0938, lunaris
cmp625, 4, Hybrid_100, 100000, 0.1175, lunaris
cmp625, 4, Hybrid_500, 100000, 0.3554, lunaris
cmp625, 4, Hybrid_1000, 100000, 0.6594, lunaris
cmp625, 4, Hybrid_5000, 100000, 3.0448, lunaris
cmp625, 4, NativeSorted, 100000, 0.0107, lunaris
cmp625, 4, BruteForce, 500000, 2495.4132, lunaris
cmp625, 4, Hybrid_5, 500000, 0.4599, lunaris
cmp625, 4, Hybrid_10, 500000, 0.4502, lunaris
cmp625, 4, Hybrid_20, 500000, 0.4499, lunaris
cmp625, 4, Hybrid_30, 500000, 0.4649, lunaris
cmp625, 4, Hybrid_50, 500000, 0.5059, lunaris
cmp625, 4, Hybrid_100, 500000, 0.6333, lunaris
cmp625, 4, Hybrid_500, 500000, 1.7844, lunaris
cmp625, 4, Hybrid_1000, 500000, 3.2463, lunaris
cmp625, 4, Hybrid_5000, 500000, 16.3834, lunaris
cmp625, 4, NativeSorted, 500000, 0.0622, lunaris
cmp625, 4, BruteForce, 1000000, 10592.2986, lunaris
cmp625, 4, Hybrid_5, 1000000, 1.0084, lunaris
cmp625, 4, Hybrid_10, 1000000, 0.9875, lunaris
cmp625, 4, Hybrid_20, 1000000, 0.9945, lunaris
cmp625, 4, Hybrid_30, 1000000, 1.0255, lunaris
cmp625, 4, Hybrid_50, 1000000, 1.1128, lunaris
cmp625, 4, Hybrid_100, 1000000, 1.3603, lunaris
cmp625, 4, Hybrid_500, 1000000, 3.6172, lunaris
cmp625, 4, Hybrid_1000, 1000000, 6.6637, lunaris
cmp625, 4, Hybrid_5000, 1000000, 30.6023, lunaris
cmp625, 4, NativeSorted, 1000000, 0.1565, lunaris
cmp625, 5, BruteForce, 1000, 0.0089, lunaris
cmp625, 5, Hybrid_5, 1000, 0.0006, lunaris
cmp625, 5, Hybrid_10, 1000, 0.0006, lunaris
cmp625, 5, Hybrid_20, 1000, 0.0006, lunaris
cmp625, 5, Hybrid_30, 1000, 0.0006, lunaris
cmp625, 5, Hybrid_50, 1000, 0.0007, lunaris
cmp625, 5, Hybrid_100, 1000, 0.0011, lunaris
cmp625, 5, Hybrid_500, 1000, 0.0033, lunaris
cmp625, 5, Hybrid_1000, 1000, 0.0088, lunaris
cmp625, 5, Hybrid_5000, 1000, 0.0088, lunaris
cmp625, 5, NativeSorted, 1000, 0.0001, lunaris
cmp625, 5, BruteForce, 2000, 0.0347, lunaris
cmp625, 5, Hybrid_5, 2000, 0.0010, lunaris
cmp625, 5, Hybrid_10, 2000, 0.0010, lunaris
cmp625, 5, Hybrid_20, 2000, 0.0010, lunaris
cmp625, 5, Hybrid_30, 2000, 0.0010, lunaris
cmp625, 5, Hybrid_50, 2000, 0.0012, lunaris
cmp625, 5, Hybrid_100, 2000, 0.0018, lunaris
cmp625, 5, Hybrid_500, 2000, 0.0079, lunaris
cmp625, 5, Hybrid_1000, 2000, 0.0126, lunaris
cmp625, 5, Hybrid_5000, 2000, 0.0347, lunaris
cmp625, 5, NativeSorted, 2000, 0.0001, lunaris
cmp625, 5, BruteForce, 5000, 0.2233, lunaris
cmp625, 5, Hybrid_5, 5000, 0.0027, lunaris
cmp625, 5, Hybrid_10, 5000, 0.0026, lunaris
cmp625, 5, Hybrid_20, 5000, 0.0026, lunaris
cmp625, 5, Hybrid_30, 5000, 0.0028, lunaris
cmp625, 5, Hybrid_50, 5000, 0.0032, lunaris
cmp625, 5, Hybrid_100, 5000, 0.0044, lunaris
cmp625, 5, Hybrid_500, 5000, 0.0151, lunaris
cmp625, 5, Hybrid_1000, 5000, 0.0331, lunaris
cmp625, 5, Hybrid_5000, 5000, 0.2203, lunaris
cmp625, 5, NativeSorted, 5000, 0.0004, lunaris
cmp625, 5, BruteForce, 10000, 0.8988, lunaris
cmp625, 5, Hybrid_5, 10000, 0.0065, lunaris
cmp625, 5, Hybrid_10, 10000, 0.0063, lunaris
cmp625, 5, Hybrid_20, 10000, 0.0063, lunaris
cmp625, 5, Hybrid_30, 10000, 0.0066, lunaris
cmp625, 5, Hybrid_50, 10000, 0.0074, lunaris
cmp625, 5, Hybrid_100, 10000, 0.0100, lunaris
cmp625, 5, Hybrid_500, 10000, 0.0331, lunaris
cmp625, 5, Hybrid_1000, 10000, 0.0649, lunaris
cmp625, 5, Hybrid_5000, 10000, 0.3690, lunaris
cmp625, 5, NativeSorted, 10000, 0.0008, lunaris
cmp625, 5, BruteForce, 50000, 24.4023, lunaris
cmp625, 5, Hybrid_5, 50000, 0.0367, lunaris
cmp625, 5, Hybrid_10, 50000, 0.0358, lunaris
cmp625, 5, Hybrid_20, 50000, 0.0360, lunaris
cmp625, 5, Hybrid_30, 50000, 0.0374, lunaris
cmp625, 5, Hybrid_50, 50000, 0.0417, lunaris
cmp625, 5, Hybrid_100, 50000, 0.0537, lunaris
cmp625, 5, Hybrid_500, 50000, 0.1674, lunaris
cmp625, 5, Hybrid_1000, 50000, 0.3268, lunaris
cmp625, 5, Hybrid_5000, 50000, 1.5109, lunaris
cmp625, 5, NativeSorted, 50000, 0.0049, lunaris
cmp625, 5, BruteForce, 100000, 99.1221, lunaris
cmp625, 5, Hybrid_5, 100000, 0.0822, lunaris
cmp625, 5, Hybrid_10, 100000, 0.0803, lunaris
cmp625, 5, Hybrid_20, 100000, 0.0803, lunaris
cmp625, 5, Hybrid_30, 100000, 0.0838, lunaris
cmp625, 5, Hybrid_50, 100000, 0.0933, lunaris
cmp625, 5, Hybrid_100, 100000, 0.1221, lunaris
cmp625, 5, Hybrid_500, 100000, 0.3929, lunaris
cmp625, 5, Hybrid_1000, 100000, 0.7389, lunaris
cmp625, 5, Hybrid_5000, 100000, 3.4145, lunaris
cmp625, 5, NativeSorted, 100000, 0.0106, lunaris
cmp625, 5, BruteForce, 500000, 2506.7679, lunaris
cmp625, 5, Hybrid_5, 500000, 0.4714, lunaris
cmp625, 5, Hybrid_10, 500000, 0.4594, lunaris
cmp625, 5, Hybrid_20, 500000, 0.4632, lunaris
cmp625, 5, Hybrid_30, 500000, 0.4758, lunaris
cmp625, 5, Hybrid_50, 500000, 0.5162, lunaris
cmp625, 5, Hybrid_100, 500000, 0.6425, lunaris
cmp625, 5, Hybrid_500, 500000, 1.7827, lunaris
cmp625, 5, Hybrid_1000, 500000, 3.2915, lunaris
cmp625, 5, Hybrid_5000, 500000, 15.3181, lunaris
cmp625, 5, NativeSorted, 500000, 0.0626, lunaris
cmp625, 5, BruteForce, 1000000, 10624.4493, lunaris
cmp625, 5, Hybrid_5, 1000000, 1.0254, lunaris
cmp625, 5, Hybrid_10, 1000000, 1.0166, lunaris
cmp625, 5, Hybrid_20, 1000000, 1.0127, lunaris
cmp625, 5, Hybrid_30, 1000000, 1.0492, lunaris
cmp625, 5, Hybrid_50, 1000000, 1.1353, lunaris
cmp625, 5, Hybrid_100, 1000000, 1.3798, lunaris
cmp625, 5, Hybrid_500, 1000000, 3.6834, lunaris
cmp625, 5, Hybrid_1000, 1000000, 6.6752, lunaris
cmp625, 5, Hybrid_5000, 1000000, 31.3568, lunaris
cmp625, 5, NativeSorted, 1000000, 0.1512, lunaris
cmp625, 6, BruteForce, 1000, 0.0085, lunaris
cmp625, 6, Hybrid_5, 1000, 0.0005, lunaris
cmp625, 6, Hybrid_10, 1000, 0.0004, lunaris
cmp625, 6, Hybrid_20, 1000, 0.0005, lunaris
cmp625, 6, Hybrid_30, 1000, 0.0005, lunaris
cmp625, 6, Hybrid_50, 1000, 0.0006, lunaris
cmp625, 6, Hybrid_100, 1000, 0.0008, lunaris
cmp625, 6, Hybrid_500, 1000, 0.0029, lunaris
cmp625, 6, Hybrid_1000, 1000, 0.0085, lunaris
cmp625, 6, Hybrid_5000, 1000, 0.0086, lunaris
cmp625, 6, NativeSorted, 1000, 0.0001, lunaris
cmp625, 6, BruteForce, 2000, 0.0358, lunaris
cmp625, 6, Hybrid_5, 2000, 0.0011, lunaris
cmp625, 6, Hybrid_10, 2000, 0.0010, lunaris
cmp625, 6, Hybrid_20, 2000, 0.0010, lunaris
cmp625, 6, Hybrid_30, 2000, 0.0011, lunaris
cmp625, 6, Hybrid_50, 2000, 0.0013, lunaris
cmp625, 6, Hybrid_100, 2000, 0.0017, lunaris
cmp625, 6, Hybrid_500, 2000, 0.0055, lunaris
cmp625, 6, Hybrid_1000, 2000, 0.0118, lunaris
cmp625, 6, Hybrid_5000, 2000, 0.0355, lunaris
cmp625, 6, NativeSorted, 2000, 0.0001, lunaris
cmp625, 6, BruteForce, 5000, 0.2226, lunaris
cmp625, 6, Hybrid_5, 5000, 0.0028, lunaris
cmp625, 6, Hybrid_10, 5000, 0.0027, lunaris
cmp625, 6, Hybrid_20, 5000, 0.0027, lunaris
cmp625, 6, Hybrid_30, 5000, 0.0029, lunaris
cmp625, 6, Hybrid_50, 5000, 0.0033, lunaris
cmp625, 6, Hybrid_100, 5000, 0.0046, lunaris
cmp625, 6, Hybrid_500, 5000, 0.0173, lunaris
cmp625, 6, Hybrid_1000, 5000, 0.0373, lunaris
cmp625, 6, Hybrid_5000, 5000, 0.2228, lunaris
cmp625, 6, NativeSorted, 5000, 0.0004, lunaris
cmp625, 6, BruteForce, 10000, 0.8887, lunaris
cmp625, 6, Hybrid_5, 10000, 0.0063, lunaris
cmp625, 6, Hybrid_10, 10000, 0.0061, lunaris
cmp625, 6, Hybrid_20, 10000, 0.0061, lunaris
cmp625, 6, Hybrid_30, 10000, 0.0064, lunaris
cmp625, 6, Hybrid_50, 10000, 0.0073, lunaris
cmp625, 6, Hybrid_100, 10000, 0.0098, lunaris
cmp625, 6, Hybrid_500, 10000, 0.0331, lunaris
cmp625, 6, Hybrid_1000, 10000, 0.0564, lunaris
cmp625, 6, Hybrid_5000, 10000, 0.2226, lunaris
cmp625, 6, NativeSorted, 10000, 0.0008, lunaris
cmp625, 6, BruteForce, 50000, 24.6262, lunaris
cmp625, 6, Hybrid_5, 50000, 0.0375, lunaris
cmp625, 6, Hybrid_10, 50000, 0.0363, lunaris
cmp625, 6, Hybrid_20, 50000, 0.0367, lunaris
cmp625, 6, Hybrid_30, 50000, 0.0382, lunaris
cmp625, 6, Hybrid_50, 50000, 0.0425, lunaris
cmp625, 6, Hybrid_100, 50000, 0.0551, lunaris
cmp625, 6, Hybrid_500, 50000, 0.1706, lunaris
cmp625, 6, Hybrid_1000, 50000, 0.3165, lunaris
cmp625, 6, Hybrid_5000, 50000, 1.3262, lunaris
cmp625, 6, NativeSorted, 50000, 0.0049, lunaris
cmp625, 6, BruteForce, 100000, 101.2216, lunaris
cmp625, 6, Hybrid_5, 100000, 0.0823, lunaris
cmp625, 6, Hybrid_10, 100000, 0.0805, lunaris
cmp625, 6, Hybrid_20, 100000, 0.0823, lunaris
cmp625, 6, Hybrid_30, 100000, 0.0838, lunaris
cmp625, 6, Hybrid_50, 100000, 0.0923, lunaris
cmp625, 6, Hybrid_100, 100000, 0.1182, lunaris
cmp625, 6, Hybrid_500, 100000, 0.3497, lunaris
cmp625, 6, Hybrid_1000, 100000, 0.6454, lunaris
cmp625, 6, Hybrid_5000, 100000, 3.0003, lunaris
cmp625, 6, NativeSorted, 100000, 0.0107, lunaris
cmp625, 6, BruteForce, 500000, 2504.7210, lunaris
cmp625, 6, Hybrid_5, 500000, 0.4555, lunaris
cmp625, 6, Hybrid_10, 500000, 0.4461, lunaris
cmp625, 6, Hybrid_20, 500000, 0.4483, lunaris
cmp625, 6, Hybrid_30, 500000, 0.4603, lunaris
cmp625, 6, Hybrid_50, 500000, 0.5019, lunaris
cmp625, 6, Hybrid_100, 500000, 0.6270, lunaris
cmp625, 6, Hybrid_500, 500000, 1.7741, lunaris
cmp625, 6, Hybrid_1000, 500000, 3.2349, lunaris
cmp625, 6, Hybrid_5000, 500000, 15.2187, lunaris
cmp625, 6, NativeSorted, 500000, 0.0619, lunaris
cmp625, 6, BruteForce, 1000000, 10700.8689, lunaris
cmp625, 6, Hybrid_5, 1000000, 0.9912, lunaris
cmp625, 6, Hybrid_10, 1000000, 0.9668, lunaris
cmp625, 6, Hybrid_20, 1000000, 0.9706, lunaris
cmp625, 6, Hybrid_30, 1000000, 1.0012, lunaris
cmp625, 6, Hybrid_50, 1000000, 1.0855, lunaris
cmp625, 6, Hybrid_100, 1000000, 1.3365, lunaris
cmp625, 6, Hybrid_500, 1000000, 3.6819, lunaris
cmp625, 6, Hybrid_1000, 1000000, 6.7008, lunaris
cmp625, 6, Hybrid_5000, 1000000, 32.3928, lunaris
cmp625, 6, NativeSorted, 1000000, 0.1524, lunaris
cmp625, 7, BruteForce, 1000, 0.0085, lunaris
cmp625, 7, Hybrid_5, 1000, 0.0005, lunaris
cmp625, 7, Hybrid_10, 1000, 0.0005, lunaris
cmp625, 7, Hybrid_20, 1000, 0.0005, lunaris
cmp625, 7, Hybrid_30, 1000, 0.0005, lunaris
cmp625, 7, Hybrid_50, 1000, 0.0005, lunaris
cmp625, 7, Hybrid_100, 1000, 0.0008, lunaris
cmp625, 7, Hybrid_500, 1000, 0.0022, lunaris
cmp625, 7, Hybrid_1000, 1000, 0.0087, lunaris
cmp625, 7, Hybrid_5000, 1000, 0.0085, lunaris
cmp625, 7, NativeSorted, 1000, 0.0001, lunaris
cmp625, 7, BruteForce, 2000, 0.0354, lunaris
cmp625, 7, Hybrid_5, 2000, 0.0011, lunaris
cmp625, 7, Hybrid_10, 2000, 0.0010, lunaris
cmp625, 7, Hybrid_20, 2000, 0.0010, lunaris
cmp625, 7, Hybrid_30, 2000, 0.0011, lunaris
cmp625, 7, Hybrid_50, 2000, 0.0013, lunaris
cmp625, 7, Hybrid_100, 2000, 0.0017, lunaris
cmp625, 7, Hybrid_500, 2000, 0.0051, lunaris
cmp625, 7, Hybrid_1000, 2000, 0.0142, lunaris
cmp625, 7, Hybrid_5000, 2000, 0.0364, lunaris
cmp625, 7, NativeSorted, 2000, 0.0001, lunaris
cmp625, 7, BruteForce, 5000, 0.2251, lunaris
cmp625, 7, Hybrid_5, 5000, 0.0028, lunaris
cmp625, 7, Hybrid_10, 5000, 0.0027, lunaris
cmp625, 7, Hybrid_20, 5000, 0.0027, lunaris
cmp625, 7, Hybrid_30, 5000, 0.0029, lunaris
cmp625, 7, Hybrid_50, 5000, 0.0033, lunaris
cmp625, 7, Hybrid_100, 5000, 0.0044, lunaris
cmp625, 7, Hybrid_500, 5000, 0.0166, lunaris
cmp625, 7, Hybrid_1000, 5000, 0.0352, lunaris
cmp625, 7, Hybrid_5000, 5000, 0.2274, lunaris
cmp625, 7, NativeSorted, 5000, 0.0004, lunaris
cmp625, 7, BruteForce, 10000, 0.9287, lunaris
cmp625, 7, Hybrid_5, 10000, 0.0063, lunaris
cmp625, 7, Hybrid_10, 10000, 0.0062, lunaris
cmp625, 7, Hybrid_20, 10000, 0.0062, lunaris
cmp625, 7, Hybrid_30, 10000, 0.0066, lunaris
cmp625, 7, Hybrid_50, 10000, 0.0073, lunaris
cmp625, 7, Hybrid_100, 10000, 0.0100, lunaris
cmp625, 7, Hybrid_500, 10000, 0.0358, lunaris
cmp625, 7, Hybrid_1000, 10000, 0.0580, lunaris
cmp625, 7, Hybrid_5000, 10000, 0.3855, lunaris
cmp625, 7, NativeSorted, 10000, 0.0008, lunaris
cmp625, 7, BruteForce, 50000, 24.6625, lunaris
cmp625, 7, Hybrid_5, 50000, 0.0373, lunaris
cmp625, 7, Hybrid_10, 50000, 0.0360, lunaris
cmp625, 7, Hybrid_20, 50000, 0.0366, lunaris
cmp625, 7, Hybrid_30, 50000, 0.0380, lunaris
cmp625, 7, Hybrid_50, 50000, 0.0423, lunaris
cmp625, 7, Hybrid_100, 50000, 0.0551, lunaris
cmp625, 7, Hybrid_500, 50000, 0.1698, lunaris
cmp625, 7, Hybrid_1000, 50000, 0.3386, lunaris
cmp625, 7, Hybrid_5000, 50000, 1.5097, lunaris
cmp625, 7, NativeSorted, 50000, 0.0049, lunaris
cmp625, 7, BruteForce, 100000, 99.5341, lunaris
cmp625, 7, Hybrid_5, 100000, 0.0794, lunaris
cmp625, 7, Hybrid_10, 100000, 0.0771, lunaris
cmp625, 7, Hybrid_20, 100000, 0.0782, lunaris
cmp625, 7, Hybrid_30, 100000, 0.0819, lunaris
