cmp625, 1, BruteForce, 1000, 0.0123, phoenix
cmp625, 1, Hybrid_5, 1000, 0.0006, phoenix
cmp625, 1, Hybrid_10, 1000, 0.0006, phoenix
cmp625, 1, Hybrid_20, 1000, 0.0006, phoenix
cmp625, 1, Hybrid_30, 1000, 0.0006, phoenix
cmp625, 1, Hybrid_50, 1000, 0.0007, phoenix
cmp625, 1, Hybrid_100, 1000, 0.0010, phoenix
cmp625, 1, Hybrid_500, 1000, 0.0043, phoenix
cmp625, 1, Hybrid_1000, 1000, 0.0119, phoenix
cmp625, 1, Hybrid_5000, 1000, 0.0120, phoenix
cmp625, 1, NativeSorted, 1000, 0.0001, phoenix
cmp625, 1, BruteForce, 2000, 0.0479, phoenix
cmp625, 1, Hybrid_5, 2000, 0.0014, phoenix
cmp625, 1, Hybrid_10, 2000, 0.0013, phoenix
cmp625, 1, Hybrid_20, 2000, 0.0013, phoenix
cmp625, 1, Hybrid_30, 2000, 0.0014, phoenix
cmp625, 1, Hybrid_50, 2000, 0.0015, phoenix
cmp625, 1, Hybrid_100, 2000, 0.0023, phoenix
cmp625, 1, Hybrid_500, 2000, 0.0083, phoenix
cmp625, 1, Hybrid_1000, 2000, 0.0109, phoenix
cmp625, 1, Hybrid_5000, 2000, 0.0446, phoenix
cmp625, 1, NativeSorted, 2000, 0.0002, phoenix
cmp625, 1, BruteForce, 5000, 0.2968, phoenix
cmp625, 1, Hybrid_5, 5000, 0.0039, phoenix
cmp625, 1, Hybrid_10, 5000, 0.0037, phoenix
cmp625, 1, Hybrid_20, 5000, 0.0037, phoenix
cmp625, 1, Hybrid_30, 5000, 0.0039, phoenix
cmp625, 1, Hybrid_50, 5000, 0.0044, phoenix
cmp625, 1, Hybrid_100, 5000, 0.0060, phoenix
cmp625, 1, Hybrid_500, 5000, 0.0191, phoenix
cmp625, 1, Hybrid_1000, 5000, 0.0416, phoenix
cmp625, 1, Hybrid_5000, 5000, 0.2827, phoenix
cmp625, 1, NativeSorted, 5000, 0.0005, phoenix
cmp625, 1, BruteForce, 10000, 1.2051, phoenix
cmp625, 1, Hybrid_5, 10000, 0.0075, phoenix
cmp625, 1, Hybrid_10, 10000, 0.0072, phoenix
cmp625, 1, Hybrid_20, 10000, 0.0072, phoenix
cmp625, 1, Hybrid_30, 10000, 0.0076, phoenix
cmp625, 1, Hybrid_50, 10000, 0.0087, phoenix
cmp625, 1, Hybrid_100, 10000, 0.0117, phoenix
cmp625, 1, Hybrid_500, 10000, 0.0433, phoenix
cmp625, 1, Hybrid_1000, 10000, 0.0683, phoenix
cmp625, 1, Hybrid_5000, 10000, 0.4177, phoenix
cmp625, 1, NativeSorted, 10000, 0.0011, phoenix
cmp625, 1, BruteForce, 50000, 31.2770, phoenix
cmp625, 1, Hybrid_5, 50000, 0.0468, phoenix
cmp625, 1, Hybrid_10, 50000, 0.0451, phoenix
cmp625, 1, Hybrid_20, 50000, 0.0454, phoenix
cmp625, 1, Hybrid_30, 50000, 0.0472, phoenix
cmp625, 1, Hybrid_50, 50000, 0.0524, phoenix
cmp625, 1, Hybrid_100, 50000, 0.0685, phoenix
cmp625, 1, Hybrid_500, 50000, 0.2085, phoenix
cmp625, 1, Hybrid_1000, 50000, 0.3797, phoenix
cmp625, 1, Hybrid_5000, 50000, 1.7748, phoenix
cmp625, 1, NativeSorted, 50000, 0.0068, phoenix
cmp625, 1, BruteForce, 100000, 134.5391, phoenix
cmp625, 1, Hybrid_5, 100000, 0.1017, phoenix
cmp625, 1, Hybrid_10, 100000, 0.0984, phoenix
cmp625, 1, Hybrid_20, 100000, 0.0989, phoenix
cmp625, 1, Hybrid_30, 100000, 0.1027, phoenix
cmp625, 1, Hybrid_50, 100000, 0.1132, phoenix
cmp625, 1, Hybrid_100, 100000, 0.1455, phoenix
cmp625, 1, Hybrid_500, 100000, 0.4449, phoenix
cmp625, 1, Hybrid_1000, 100000, 0.8097, phoenix
cmp625, 1, Hybrid_5000, 100000, 4.0912, phoenix
cmp625, 1, NativeSorted, 100000, 0.0147, phoenix
cmp625, 1, BruteForce, 500000, 3711.3211, phoenix
cmp625, 1, Hybrid_5, 500000, 0.6329, phoenix
cmp625, 1, Hybrid_10, 500000, 0.6193, phoenix
cmp625, 1, Hybrid_20, 500000, 0.6183, phoenix
cmp625, 1, Hybrid_30, 500000, 0.6371, phoenix
cmp625, 1, Hybrid_50, 500000, 0.6906, phoenix
cmp625, 1, Hybrid_100, 500000, 0.8494, phoenix
cmp625, 1, Hybrid_500, 500000, 2.3116, phoenix
cmp625, 1, Hybrid_1000, 500000, 4.2114, phoenix
cmp625, 1, Hybrid_5000, 500000, 19.5525, phoenix
cmp625, 1, NativeSorted, 500000, 0.0926, phoenix
cmp625, 1, BruteForce, 1000000, 20238.6053, phoenix
cmp625, 1, Hybrid_5, 1000000, 1.3370, phoenix
cmp625, 1, Hybrid_10, 1000000, 1.3004, phoenix
cmp625, 1, Hybrid_20, 1000000, 1.3006, phoenix
cmp625, 1, Hybrid_30, 1000000, 1.3365, phoenix
cmp625, 1, Hybrid_50, 1000000, 1.4433, phoenix
cmp625, 1, Hybrid_100, 1000000, 1.7684, phoenix
cmp625, 1, Hybrid_500, 1000000, 4.7498, phoenix
cmp625, 1, Hybrid_1000, 1000000, 8.5787, phoenix
cmp625, 1, Hybrid_5000, 1000000, 38.4670, phoenix
cmp625, 1, NativeSorted, 1000000, 0.2142, phoenix
cmp625, 2, BruteForce, 1000, 0.0120, phoenix
cmp625, 2, Hybrid_5, 1000, 0.0006, phoenix
cmp625, 2, Hybrid_10, 1000, 0.0006, phoenix
cmp625, 2, Hybrid_20, 1000, 0.0006, phoenix
cmp625, 2, Hybrid_30, 1000, 0.0006, phoenix
cmp625, 2, Hybrid_50, 1000, 0.0007, phoenix
cmp625, 2, Hybrid_100, 1000, 0.0010, phoenix
cmp625, 2, Hybrid_500, 1000, 0.0037, phoenix
cmp625, 2, Hybrid_1000, 1000, 0.0114, phoenix
cmp625, 2, Hybrid_5000, 1000, 0.0114, phoenix
cmp625, 2, NativeSorted, 1000, 0.0001, phoenix
cmp625, 2, BruteForce, 2000, 0.0474, phoenix
cmp625, 2, Hybrid_5, 2000, 0.0014, phoenix
cmp625, 2, Hybrid_10, 2000, 0.0013, phoenix
cmp625, 2, Hybrid_20, 2000, 0.0013, phoenix
cmp625, 2, Hybrid_30, 2000, 0.0014, phoenix
cmp625, 2, Hybrid_50, 2000, 0.0016, phoenix
cmp625, 2, Hybrid_100, 2000, 0.0021, phoenix
cmp625, 2, Hybrid_500, 2000, 0.0076, phoenix
cmp625, 2, Hybrid_1000, 2000, 0.0183, phoenix
cmp625, 2, Hybrid_5000, 2000, 0.0443, phoenix
cmp625, 2, NativeSorted, 2000, 0.0002, phoenix
cmp625, 2, BruteForce, 5000, 0.3030, phoenix
cmp625, 2, Hybrid_5, 5000, 0.0035, phoenix
cmp625, 2, Hybrid_10, 5000, 0.0033, phoenix
cmp625, 2, Hybrid_20, 5000, 0.0034, phoenix
cmp625, 2, Hybrid_30, 5000, 0.0035, phoenix
cmp625, 2, Hybrid_50, 5000, 0.0041, phoenix
cmp625, 2, Hybrid_100, 5000, 0.0057, phoenix
cmp625, 2, Hybrid_500, 5000, 0.0197, phoenix
cmp625, 2, Hybrid_1000, 5000, 0.0455, phoenix
cmp625, 2, Hybrid_5000, 5000, 0.2902, phoenix
cmp625, 2, NativeSorted, 5000, 0.0005, phoenix
cmp625, 2, BruteForce, 10000, 1.1977, phoenix
cmp625, 2, Hybrid_5, 10000, 0.0077, phoenix
cmp625, 2, Hybrid_10, 10000, 0.0074, phoenix
cmp625, 2, Hybrid_20, 10000, 0.0074, phoenix
cmp625, 2, Hybrid_30, 10000, 0.0077, phoenix
cmp625, 2, Hybrid_50, 10000, 0.0087, phoenix
cmp625, 2, Hybrid_100, 10000, 0.0120, phoenix
cmp625, 2, Hybrid_500, 10000, 0.0416, phoenix
cmp625, 2, Hybrid_1000, 10000, 0.0788, phoenix
cmp625, 2, Hybrid_5000, 10000, 0.3398, phoenix
cmp625, 2, NativeSorted, 10000, 0.0011, phoenix
cmp625, 2, BruteForce, 50000, 30.7487, phoenix
cmp625, 2, Hybrid_5, 50000, 0.0460, phoenix
cmp625, 2, Hybrid_10, 50000, 0.0436, phoenix
cmp625, 2, Hybrid_20, 50000, 0.0438, phoenix
cmp625, 2, Hybrid_30, 50000, 0.0456, phoenix
cmp625, 2, Hybrid_50, 50000, 0.0507, phoenix
cmp625, 2, Hybrid_100, 50000, 0.0668, phoenix
cmp625, 2, Hybrid_500, 50000, 0.2077, phoenix
cmp625, 2, Hybrid_1000, 50000, 0.4061, phoenix
cmp625, 2, Hybrid_5000, 50000, 1.7623, phoenix
cmp625, 2, NativeSorted, 50000, 0.0068, phoenix
cmp625, 2, BruteForce, 100000, 136.7897, phoenix
cmp625, 2, Hybrid_5, 100000, 0.1040, phoenix
cmp625, 2, Hybrid_10, 100000, 0.1007, phoenix
cmp625, 2, Hybrid_20, 100000, 0.1012, phoenix
cmp625, 2, Hybrid_30, 100000, 0.1046, phoenix
cmp625, 2, Hybrid_50, 100000, 0.1159, phoenix
cmp625, 2, Hybrid_100, 100000, 0.1479, phoenix
cmp625, 2, Hybrid_500, 100000, 0.4404, phoenix
cmp625, 2, Hybrid_1000, 100000, 0.8166, phoenix
cmp625, 2, Hybrid_5000, 100000, 3.9097, phoenix
cmp625, 2, NativeSorted, 100000, 0.0150, phoenix
cmp625, 2, BruteForce, 500000, 3700.3943, phoenix
cmp625, 2, Hybrid_5, 500000, 0.5813, phoenix
cmp625, 2, Hybrid_10, 500000, 0.5652, phoenix
cmp625, 2, Hybrid_20, 500000, 0.5660, phoenix
cmp625, 2, Hybrid_30, 500000, 0.5845, phoenix
cmp625, 2, Hybrid_50, 500000, 0.6356, phoenix
cmp625, 2, Hybrid_100, 500000, 0.7958, phoenix
cmp625, 2, Hybrid_500, 500000, 2.2307, phoenix
cmp625, 2, Hybrid_1000, 500000, 4.0785, phoenix
cmp625, 2, Hybrid_5000, 500000, 19.2477, phoenix
cmp625, 2, NativeSorted, 500000, 0.0923, phoenix
cmp625, 2, BruteForce, 1000000, 21305.8475, phoenix
cmp625, 2, Hybrid_5, 1000000, 1.3540, phoenix
cmp625, 2, Hybrid_10, 1000000, 1.3132, phoenix
cmp625, 2, Hybrid_20, 1000000, 1.3146, phoenix
cmp625, 2, Hybrid_30, 1000000, 1.3503, phoenix
cmp625, 2, Hybrid_50, 1000000, 1.4607, phoenix
cmp625, 2, Hybrid_100, 1000000, 1.7828, phoenix
cmp625, 2, Hybrid_500, 1000000, 4.7230, phoenix
cmp625, 2, Hybrid_1000, 1000000, 8.6183, phoenix
cmp625, 2, Hybrid_5000, 1000000, 39.2874, phoenix
cmp625, 2, NativeSorted, 1000000, 0.2143, phoenix
cmp625, 3, BruteForce, 1000, 0.0117, phoenix
cmp625, 3, Hybrid_5, 1000, 0.0006, phoenix
cmp625, 3, Hybrid_10, 1000, 0.0005, phoenix
cmp625, 3, Hybrid_20, 1000, 0.0005, phoenix
cmp625, 3, Hybrid_30, 1000, 0.0006, phoenix
cmp625, 3, Hybrid_50, 1000, 0.0007, phoenix
cmp625, 3, Hybrid_100, 1000, 0.0010, phoenix
cmp625, 3, Hybrid_500, 1000, 0.0038, phoenix
cmp625, 3, Hybrid_1000, 1000, 0.0109, phoenix
cmp625, 3, Hybrid_5000, 1000, 0.0110, phoenix
cmp625, 3, NativeSorted, 1000, 0.0001, phoenix
cmp625, 3, BruteForce, 2000, 0.0464, phoenix
cmp625, 3, Hybrid_5, 2000, 0.0013, phoenix
cmp625, 3, Hybrid_10, 2000, 0.0013, phoenix
cmp625, 3, Hybrid_20, 2000, 0.0013, phoenix
cmp625, 3, Hybrid_30, 2000, 0.0013, phoenix
cmp625, 3, Hybrid_50, 2000, 0.0015, phoenix
cmp625, 3, Hybrid_100, 2000, 0.0022, phoenix
cmp625, 3, Hybrid_500, 2000, 0.0081, phoenix
cmp625, 3, Hybrid_1000, 2000, 0.0152, phoenix
cmp625, 3, Hybrid_5000, 2000, 0.0439, phoenix
cmp625, 3, NativeSorted, 2000, 0.0002, phoenix
cmp625, 3, BruteForce, 5000, 0.2983, phoenix
cmp625, 3, Hybrid_5, 5000, 0.0035, phoenix
cmp625, 3, Hybrid_10, 5000, 0.0033, phoenix
cmp625, 3, Hybrid_20, 5000, 0.0034, phoenix
cmp625, 3, Hybrid_30, 5000, 0.0036, phoenix
cmp625, 3, Hybrid_50, 5000, 0.0041, phoenix
cmp625, 3, Hybrid_100, 5000, 0.0057, phoenix
cmp625, 3, Hybrid_500, 5000, 0.0198, phoenix
cmp625, 3, Hybrid_1000, 5000, 0.0461, phoenix
cmp625, 3, Hybrid_5000, 5000, 0.2834, phoenix
cmp625, 3, NativeSorted, 5000, 0.0005, phoenix
cmp625, 3, BruteForce, 10000, 1.2195, phoenix
cmp625, 3, Hybrid_5, 10000, 0.0078, phoenix
cmp625, 3, Hybrid_10, 10000, 0.0075, phoenix
cmp625, 3, Hybrid_20, 10000, 0.0075, phoenix
cmp625, 3, Hybrid_30, 10000, 0.0079, phoenix
cmp625, 3, Hybrid_50, 10000, 0.0088, phoenix
cmp625, 3, Hybrid_100, 10000, 0.0122, phoenix
cmp625, 3, Hybrid_500, 10000, 0.0390, phoenix
cmp625, 3, Hybrid_1000, 10000, 0.0865, phoenix
cmp625, 3, Hybrid_5000, 10000, 0.3802, phoenix
cmp625, 3, NativeSorted, 10000, 0.0011, phoenix
cmp625, 3, BruteForce, 50000, 31.3125, phoenix
cmp625, 3, Hybrid_5, 50000, 0.0499, phoenix
cmp625, 3, Hybrid_10, 50000, 0.0484, phoenix
cmp625, 3, Hybrid_20, 50000, 0.0486, phoenix
cmp625, 3, Hybrid_30, 50000, 0.0503, phoenix
cmp625, 3, Hybrid_50, 50000, 0.0556, phoenix
cmp625, 3, Hybrid_100, 50000, 0.0721, phoenix
cmp625, 3, Hybrid_500, 50000, 0.2102, phoenix
cmp625, 3, Hybrid_1000, 50000, 0.3849, phoenix
cmp625, 3, Hybrid_5000, 50000, 1.8388, phoenix
cmp625, 3, NativeSorted, 50000, 0.0068, phoenix
cmp625, 3, BruteForce, 100000, 137.0223, phoenix
cmp625, 3, Hybrid_5, 100000, 0.1006, phoenix
cmp625, 3, Hybrid_10, 100000, 0.0974, phoenix
cmp625, 3, Hybrid_20, 100000, 0.0978, phoenix
cmp625, 3, Hybrid_30, 100000, 0.1016, phoenix
cmp625, 3, Hybrid_50, 100000, 0.1123, phoenix
cmp625, 3, Hybrid_100, 100000, 0.1456, phoenix
cmp625, 3, Hybrid_500, 100000, 0.4369, phoenix
cmp625, 3, Hybrid_1000, 100000, 0.8120, phoenix
cmp625, 3, Hybrid_5000, 100000, 3.9788, phoenix
cmp625, 3, NativeSorted, 100000, 0.0149, phoenix
cmp625, 3, BruteForce, 500000, 3965.3419, phoenix
cmp625, 3, Hybrid_5, 500000, 0.6104, phoenix
cmp625, 3, Hybrid_10, 500000, 0.5929, phoenix
cmp625, 3, Hybrid_20, 500000, 0.5948, phoenix
cmp625, 3, Hybrid_30, 500000, 0.6128, phoenix
cmp625, 3, Hybrid_50, 500000, 0.6663, phoenix
cmp625, 3, Hybrid_100, 500000, 0.8271, phoenix
cmp625, 3, Hybrid_500, 500000, 2.2683, phoenix
cmp625, 3, Hybrid_1000, 500000, 4.1376, phoenix
cmp625, 3, Hybrid_5000, 500000, 19.9262, phoenix
cmp625, 3, NativeSorted, 500000, 0.0942, phoenix
cmp625, 3, BruteForce, 1000000, 20317.7769, phoenix
cmp625, 3, Hybrid_5, 1000000, 1.3586, phoenix
cmp625, 3, Hybrid_10, 1000000, 1.3176, phoenix
cmp625, 3, Hybrid_20, 1000000, 1.3203, phoenix
cmp625, 3, Hybrid_30, 1000000, 1.3543, phoenix
cmp625, 3, Hybrid_50, 1000000, 1.4622, phoenix
cmp625, 3, Hybrid_100, 1000000, 1.7842, phoenix
cmp625, 3, Hybrid_500, 1000000, 4.7590, phoenix
cmp625, 3, Hybrid_1000, 1000000, 8.6747, phoenix
cmp625, 3, Hybrid_5000, 1000000, 40.8920, phoenix
cmp625, 3, NativeSorted, 1000000, 0.2149, phoenix
cmp625, 4, BruteForce, 1000, 0.0116, phoenix
cmp625, 4, Hybrid_5, 1000, 0.0006, phoenix
cmp625, 4, Hybrid_10, 1000, 0.0005, phoenix
cmp625, 4, Hybrid_20, 1000, 0.0005, phoenix
cmp625, 4, Hybrid_30, 1000, 0.0006, phoenix
cmp625, 4, Hybrid_50, 1000, 0.0007, phoenix
cmp625, 4, Hybrid_100, 1000, 0.0010, phoenix
cmp625, 4, Hybrid_500, 1000, 0.0029, phoenix
cmp625, 4, Hybrid_1000, 1000, 0.0110, phoenix
cmp625, 4, Hybrid_5000, 1000, 0.0109, phoenix
cmp625, 4, NativeSorted, 1000, 0.0001, phoenix
cmp625, 4, BruteForce, 2000, 0.0477, phoenix
cmp625, 4, Hybrid_5, 2000, 0.0013, phoenix
cmp625, 4, Hybrid_10, 2000, 0.0012, phoenix
cmp625, 4, Hybrid_20, 2000, 0.0012, phoenix
cmp625, 4, Hybrid_30, 2000, 0.0012, phoenix
cmp625, 4, Hybrid_50, 2000, 0.0015, phoenix
cmp625, 4, Hybrid_100, 2000, 0.0019, phoenix
cmp625, 4, Hybrid_500, 2000, 0.0081, phoenix
cmp625, 4, Hybrid_1000, 2000, 0.0183, phoenix
cmp625, 4, Hybrid_5000, 2000, 0.0452, phoenix
cmp625, 4, NativeSorted, 2000, 0.0002, phoenix
cmp625, 4, BruteForce, 5000, 0.3016, phoenix
cmp625, 4, Hybrid_5, 5000, 0.0039, phoenix
cmp625, 4, Hybrid_10, 5000, 0.0037, phoenix
cmp625, 4, Hybrid_20, 5000, 0.0037, phoenix
cmp625, 4, Hybrid_30, 5000, 0.0039, phoenix
cmp625, 4, Hybrid_50, 5000, 0.0044, phoenix
cmp625, 4, Hybrid_100, 5000, 0.0060, phoenix
cmp625, 4, Hybrid_500, 5000, 0.0200, phoenix
